,國文,英文,數學,社會,自然
0,6,8,7,10,8
1,15,7,13,12,15
2,10,6,13,7,7
3,7,7,13,10,15
4,10,15,12,14,12
5,8,8,11,10,11
6,12,6,15,13,15
7,9,15,10,8,12
8,12,6,14,14,12
9,13,7,12,9,11
10,11,9,13,14,15
11,6,6,15,10,14
12,13,13,10,11,13
13,14,6,10,13,7
14,12,13,14,11,11
15,12,6,10,10,8
16,13,8,9,13,13
17,9,9,6,6,7
18,13,7,7,10,6
19,15,7,6,8,14
20,15,13,9,13,6
21,8,8,8,8,11
22,6,8,7,11,8
23,13,15,11,12,10
24,14,12,7,9,6
25,12,11,6,15,15
26,8,14,7,15,11
27,11,9,11,8,9
28,12,12,14,11,9
29,6,14,10,15,12
30,14,9,6,14,14
31,9,11,12,15,10
32,13,13,6,9,13
33,11,15,13,6,14
34,14,15,12,8,15
35,8,12,12,11,13
36,12,8,6,12,10
37,14,11,12,9,14
38,13,15,15,8,13
39,11,11,14,15,9
40,6,7,14,14,10
41,14,15,15,8,9
42,14,6,14,15,6
43,14,15,15,8,11
44,11,7,13,15,14
45,11,13,12,14,9
46,11,10,13,8,9
47,14,13,9,11,14
48,8,7,6,11,11
49,15,11,9,12,13
50,8,7,9,15,15
51,15,11,15,12,8
52,15,8,10,7,10
53,10,12,8,11,12
54,13,12,7,9,8
55,7,7,15,11,12
56,15,15,9,6,10
57,15,13,10,8,12
58,7,9,7,8,7
59,6,10,12,13,15
60,13,10,7,7,11
61,10,7,8,7,10
62,6,9,9,6,9
63,15,10,10,13,6
64,10,13,9,6,12
65,9,6,14,15,13
66,15,9,7,11,9
67,14,6,13,7,8
68,6,14,6,12,13
69,6,10,15,9,10
70,12,13,7,14,9
71,6,10,10,11,6
72,9,7,11,12,14
73,15,10,9,11,12
74,11,14,8,14,6
75,15,10,8,6,7
76,15,8,15,8,14
77,15,7,8,15,10
78,9,6,11,7,10
79,11,12,10,14,13
80,13,9,7,12,9
81,14,10,9,6,14
82,10,11,14,6,10
83,15,14,13,7,14
84,14,15,11,7,11
85,15,13,9,15,12
86,12,7,10,7,11
87,11,15,8,14,15
88,7,8,8,14,15
89,8,6,10,12,8
90,11,11,6,7,14
91,8,13,10,8,15
92,12,11,8,15,11
93,12,12,15,10,11
94,15,13,14,9,14
95,7,10,10,10,13
96,13,11,8,7,14
97,12,12,13,7,14
98,9,14,6,9,6
99,11,11,15,12,13
